uuid,book_title,commenter,Full_Mask_comment,answer_quote_text,answer_quote_idx,num_sents,close_reading_example,explanation_human,human_eval_set,response_anthropic_claude-sonnet-4.5_task1_v1_text_simple_edited_window,response_deepseek_deepseek-v3.2_task1_v1_text_simple_edited_window,response_anthropic_claude-sonnet-4.5_task1_v1_text_simple_edited_window_ERROR,response_deepseek_deepseek-v3.2_task1_v1_text_simple_edited_window_ERROR,correctness_anthropic_claude-sonnet-4.5_task1_v1_text_simple_edited_window_FUZZY_MATCH,correctness_deepseek_deepseek-v3.2_task1_v1_text_simple_edited_window_FUZZY_MATCH
97621187,aeneid_book2,Conington,"seemingly implying that Ajax and the Greeks with him had not detected the fraud, their one feeling being revenge for the rescue of Cassandra. Ribbeck, following an indication in Pal., where there is a gap after the first three letters of ‘MASK MASK’ reads ‘MASK MASK’ supposing the sense to be that the Greeks discover that the arms of Aeneas and his friends are really not Greek, but Trojan. But the Trojans are not commonly spoken of as Priam's men; and it is a considerable step even from this to speak of the assumed arms as Priam's arms. ‘MASK MASK’ to be understood in its usual sense with Serv. ‘MASK MASK MASK MASK’ not with Heyne and others as if it were passive. The weapons were actually Greek, and so were not counterfeited, but counterfeiting.",Primi,422,1,,,,mentitaque tela,mentitaque tela,,,False,False
19221940,aeneid_book2,Conington,"with ‘MASK MASK’ Aeneas says the struggle was so extensive and deadly, that you would thin there were none left to fight in the rest of Troy, none to be killed. This accounts for ‘MASK MASK’—‘MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK’ ‘MASK MASK MASK MASK MASK MASK MASK MASK’ Virg. has evidently imitated Od. 8. 519, where in the minstrel's song about the capture of Troy it is said that the fiercest struggle went on at the house of Deiphobus, MASK MASK MASK MASK MASK MASK . Burm. comp. Stat. Theb. 3. 122, “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK” which shows that ‘MASK MASK’ v. 440, is meant to answer to ‘MASK’ here. Virg. in fact writes loosely, at first apparently intending to confine the comparison indicated by ‘MASK’ to ‘MASK MASK MASK’ and then going on to draw it out in the lines that follow as if ‘MASK MASK’ had not preceded.",Ingentem pugnam,438,1,,,,"ceu cetera nusquam bella forent, nulli tota morerentur in urbe","Hic vero ingentem pugnam, ceu cetera nusquam bella forent",,,False,True
55003766,aeneid_book2,Conington,"appear to have been unusual, if not prodigies. Cerda refers to Livy 43. 13 (15), “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK” and to MASK “MASK MASK MASK MASK” of the serpents strangled by Hercules; as also to Eur. Phoen. 820, MASK MASK , which Virg. may have had in his mind. These crests seem to have been of actual hair, as Pindar, Pyth. 10. 47, speaks of them as MASK . Pliny 11. 37 says “MASK MASK MASK MASK MASK MASK MASK MASK”",Angues iubati,206,1,,,,iubaeque sanguineae superant undas,iubaeque sanguineae,,,False,False
15717186,aeneid_book3,Conington,"The sacrifice seems to have been made elsewhere, not in the temple itself, unless we take ‘MASK’ of the adytum, or suppose a MASK MASK .","sacrati capitis , meque ad tua limina , Phoebe",371,1,,,,adytis cortina reclusis,adytis cortina reclusis,,,False,False
510465,aeneid_book1,Conington,"The ‘MASK’ are evidently the ‘MASK MASK’ not, as Henry and after him Forb. suppose, the resources which constituted the power of Pygmalion, a sense which would not well agree with ‘MASK MASK’ Pygmalion may not have actually taken possession of the treasures, but they were his from the time when he slew their owner. The epithet ‘MASK’ should be remarked. The wealth for which he has committed the crime is wafted away from him over the sea. The expression is meant to be terse and almost epigrammatic, as ‘MASK MASK MASK’ shows. Comp. Dido's words MASK “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK” where there is evident reference to paying a dowry in treasure.",Pygmalionis opes pelago ; dux femina facti,364,1,,,,portantur avari Pygmalionis opes pelago,portantur avari Pygmalionis opes pelago,,,False,False
88682038,aeneid_book5,Conington,"“MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK” below v. 823. ‘MASK’ 3. 74 note. Heyne suggested that ‘MASK MASK’ should be coupled with ‘MASK MASK’ comparing 1. 144, where Cymothoe and Triton join to push the ships off the rock. With the present pointing Panopea is distinguished from the rest for the sake of poetical variety.",Nereidum Phorcique chorus Panopeaque virgo,240,1,,,,Panopeaque virgo,Nereidum Phorcique chorus Panopeaque virgo,,,True,True
90760308,aeneid_book4,Conington,"As Serv. and Donatus say, Virg. means us to contrast this with the description of activity in 1. 423 foll., 504 foll.","Non coeptae adsurgunt turres , non arma iuventus",86,1,,,,pendent opera interrupta,pendent opera interrupta,,,False,False
71712258,aeneid_book6,Conington,"“MASK MASK MASK” 8. 36. See on v. 322 below. Serv. rather ingeniously remarks, “MASK MASK MASK MASK MASK MASK MASK MASK MASK”",cum sic orsa loqui vates : “ Sate sanguine divom,125,1,,,,facilis descensus Averno,si potuit Manes arcessere coniugis Orpheus,,,False,False
37863097,aeneid_book5,Conington,"For ‘MASK MASK’ we might have expected ‘MASK’ simply, as Heyne remarks: Virg. however as usual consults variety. Perhaps we may comp. 3. 587, “MASK MASK MASK MASK MASK MASK MASK MASK” where the preposition is omitted by two MSS., and would not have been greatly missed. The ‘MASK’ here of course is smoke. ‘MASK’ with inf. seems unusual. The dictionaries cite MASK “MASK MASK MASK MASK MASK MASK MASK” where however another reading is “MASK MASK”",respiciunt atram in nimbo volitare favillam,666,1,,,,vomens tardum fumum,stuppa vomens tardum fumum,,,False,False
32774653,aeneid_book5,Conington,"generally, an observance. To understand it of the honour paid to the youths themselves with Gossrau is inconsistent with the use of the word in similar passages, e. MASK , “MASK MASK MASK MASK MASK MASK MASK MASK MASK” ‘MASK’ ancestral, not referring to Anchises, as Forb. seems to think.",Honorem,601,1,,,,patrium servavit honorem,genitori instaurat honores,,,True,False
31812536,aeneid_book4,Conington,"With Forb., Jahn, and Ribbeck, I have restored ‘MASK MASK’ the reading of Med., Rom., and Gud., for ‘MASK MASK’ that of fragm. Veron., which, though admissible, seems less natural and straightforward. Pal. has ‘MASK’ altered into ‘MASK MASK’ Serv. mentions both. Whether Forb. and Jahn are to be further followed in removing the stop after ‘MASK’ is more doubtful. On the whole it seems better to regard v. 175 as a separate sentence. ‘MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK’","Fama , malum qua non aliud velocius ullum",174,1,,,,hic hymenaeus erit,conubium vocat,,Model generated window not found in primary source,False,
40016146,aeneid_book5,Conington,"seems to be simply transferred from the antecedent to the relative clause, for the sake of the metre or of poetical variety. 3. 546 is scarcely parallel, though the words are sufficiently similar, as there “MASK MASK MASK” seems to mean ‘MASK MASK MASK MASK MASK MASK MASK’—‘MASK MASK MASK MASK MASK MASK MASK’",Pulcherrima,728,1,,,,cui genus et quondam nomen natique fuissent,quibus in Gaetulis Syrtibus usi,,,False,False
220459,aeneid_book2,Conington,"The comparison is between Aeneas listening to the sound of battle from the roof of his house, and a shepherd hearing the roaring of a conflagration or a torrent from the top of a crag, so that it seems best to make ‘MASK’ the apodosis to ‘MASK MASK MASK’ though MASK Il. 4. 455, which suggested the simile of the torrent, the shepherd is introduced merely as an accessory to the picture. Comp. 1. 148, note. Of course, however, the protasis of the simile is so worded as to give some notion of the whole scene as it lay before Aeneas. For ‘MASK’ we might have expected “MASK MASK” as MASK MASK , but the MSS. have no variation. ‘MASK MASK MASK’ perhaps of a casual spark, like “MASK MASK” MASK .",in segetem veluti cum flamma furentibus austris,304,1,,,,stupet inscius alto accipiens sonitum saxi de vertice pastor,"in segetem veluti cum flamma furentibus austris incidit, aut rapidus montano flumine torrens",,,False,True
71046971,aeneid_book1,Conington,trusty messengers. See Forc. s. v.,Certos,576,1,,,,fidus quae tela gerebat Achates,rapidum ad navis praemittit Achaten,,,False,False
15448465,aeneid_book4,Conington,"is rightly explained by Serv. “MASK MASK” recalling us in fact to the sufferings of the old Titan, which Aesch., it will be remembered, regards as parallel to those of Prometheus ( MASK ).",Duri,247,1,,,,"Atlantis duri, caelum qui vertice fulcit","Atlantis, cinctum adsidue cui nubibus atris",,,True,False
33808709,aeneid_book3,Conington,"Virg. may have thought of Il. 17. 410 foll. MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK , MASK MASK MASK MASK MASK MASK MASK .","Nec vates Helenus , cum multa horrenda moneret",712,1,,,,horrifico lapsu de montibus adsunt,"Bellum etiam pro caede boum stratisque iuvencis, Laomedontiadae, bellumne inferre paratis, et patrio Harpyias insontis pellere regno?",,,False,False
38397819,aeneid_book4,Conington,"We need not press the attribute here given to Juno, as if the other deities were not invoked for the same reason, any more than we need suppose that Juno is invoked only as the goddess of marriage, and not also as the patroness of Carthage. MASK and MASK were titles of the Greek Hera.","Iunoni ante omnis , cui vincla iugalia curae",59,1,,,,cui vincla iugalia curae,pronuba Iuno,,,True,False
9448502,aeneid_book6,Conington,"Med. has ‘MASK MASK MASK’ doubtless for ‘MASK’ though Heins. conj. “MASK MASK MASK” In ‘MASK MASK’ the meaning seems to hover between the duty undertaken of carrying the offering to Proserpine and the offering itself, ‘MASK’ belonging to the former sense. Having used the expression, Virg. considers himself free in v. 637 to talk of ‘MASK MASK MASK MASK’ employing ‘MASK’ in the sense of gift. In the first line of the poem, written, or supposed to be written by Virg., on the prospect of his Aeneid (‘MASK MASK’ Catalecta 6), ‘MASK MASK’ is used in the ordinary sense of a duty undertaken.","“ Sed iam age , carpe viam et susceptum perfice munus",629,1,,,,susceptum perfice munus,perfecto munere divae,,,True,False
63599503,aeneid_book1,Conington,"There is no occasion to separate this line from what precedes with Wagn. and Forb., as vv. 670, 671 prove. “MASK MASK MASK MASK” MASK , where the anxiety is that of love.—‘MASK MASK’ may be explained by observing that the action has arrived at evening. Having set her son on the way to Carthage, Venus is not at rest. She is alarmed at the warmth of his reception, and knowing that Ascanius has been sent for to the banquet, at the last moment she proposes to substitute Cupid for him. But there seems also a reference to the common thought that night aggravates rather than soothes anxiety, for which Henry comp. 4. 522 foll. ‘MASK MASK MASK’ 12. 802.","urit atrox Iuno , et sub noctem cura recursat",662,1,,,,et sub noctem cura recursat,sub noctem cura recursat,,,True,True
87017742,aeneid_book3,Conington,The effect extends from Sicily to Italy. Some copies however give ‘MASK MASK’ For ‘MASK’ see on 2. 748.,"Italiae , curvisque immugiit Aetna cavernis",674,1,,,,penitusque exterrita tellus,Italiam Italiam,,Model generated window not found in primary source,False,
25615253,aeneid_book1,Conington,"‘MASK’ v. 181, ‘MASK MASK’ v. 222. Sergestus is mentioned for the first time.",Anthea Sergestumque videt fortemque Cloanthum,510,1,,,,Anthea Sergestumque videt fortemque Cloanthum,Anthea Sergestumque videt,,,True,True
2077790,aeneid_book2,Conington,‘MASK’ like “MASK” MASK .,"Obstipui , steteruntque comae et vox faucibus haesit",774,1,,,,veluti,timeo Danaos et dona ferentis,,,False,False
20560176,aeneid_book3,Conington,"are the statues, not the appearances in vision: comp. 7. 443. ‘MASK MASK’ see on 2. 293.",Effigies divom,148,1,,,,effigies sacrae divom Phrygiique Penates,"nec sopor illud erat, sed coram adgnoscere voltus velatasque comas praesentiaque ora videbar",,,False,False
3104205,aeneid_book3,Conington,MASK . ‘MASK MASK MASK’ expresses the same thing more picturesquely.,In honore deorum,406,1,,,,fata viam invenient,luminis effossi fluidum lavit inde cruorem,,,False,False
26065767,aeneid_book6,Conington,"As Macrob., Sat. 5. 7, points out from Il. 14. 231, MASK MASK MASK , MASK MASK (comp. Il. 16. 682, where Sleep and Death carry off the dead Sarpedon to Lycia). A critic of this work in the “MASK” finds a difficulty in the introduction of Sleep among these forms of human ill, and suggests that ‘MASK’ really means lethargy. But though Sleep regarded from one point of view is the restorer of nature, it is quite intelligible that it should be considered as itself a sign of the weakness which it remedies, at the same time that the suspension of consciousness, in which it resembles death, may naturally impress the imagination as an actual evil. That it is not fanciful to attribute such considerations to an ancient poet may be seen by comparing the Sophoclean MASK MASK MASK (Ant. 606), where the feeling is precisely the same, Sleep being regarded as an actual agent in human decay, though it has been lost on several of the later critics, who wish to alter the text. ‘MASK MASK MASK’ i. q. “MASK MASK MASK MASK” Sen. Ep. 59 thinks the epithet an improper one, as joy is always a good thing, since none but the wise can feel it. Virg. doubtless means to include evil pleasures of all kinds, as real evils, the end of which is death.","tum consanguineus Leti Sopor , et mala mentis",278,1,,,,"consanguineus Leti Sopor, et mala mentis Gaudia","et consanguineus Leti Sopor, et mala mentis Gaudia",,,True,True
56266159,aeneid_book3,Conington,"who could think so in those days? an idiomatic use of the imperfect, where we should prefer the pluperfect, ‘MASK MASK MASK MASK MASK’ For ‘MASK MASK’ as might be expected, some of Ribbeck's cursives give ‘MASK MASK’",Crederet,187,1,,,,"crederet, aut quem tum vates Cassandra moveret",Vix prima inceperat aestas,,,True,False
4995305,aeneid_book4,Conington,"is here ‘MASK’ rather than ‘MASK’ as Dido obviously is bringing a charge against the gods, not simply noting them as unpropitious. In 9. 209, where the words partially recur, the context rather inclines to the other sense. It signifies little whether we make ‘MASK’ adj. or subst.",Aequis,372,1,,,,aspicit aequis,pacis iniquae,,,True,False
49614828,aeneid_book6,Conington,"Rom. has ‘MASK MASK’ “MASK MASK MASK MASK” says Heyne: but ‘MASK’ is clearly better. ‘MASK’ (fragm, Vat., Med.) is restored by Wagn. after Jahn for ‘MASK’ (Pal., Rom., Gud.).","concretam exemit labem , purumque relinquit",746,1,,,,lento vimine,aureus et foliis et lento vimine ramus,,,False,False
86963789,aeneid_book2,Conington,"Henry rightly takes ‘MASK’ with ‘MASK MASK’ arguing from the emphatic position of ‘MASK MASK’ as well as from the greater poeticalness of the expression, and quoting Ov. M. 15. 74, “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK” which also seems to show that ‘MASK’ is the abl. ‘MASK MASK MASK MASK MASK MASK MASK MASK MASK’","ora , dei iussu non umquam credita Teucris",247,1,,,,divina Palladis arte,manibus vittas,,,False,False
68394173,aeneid_book5,Conington,"A half-echo of 4. 451. Comp. also v. 769 below, which is meant to remind us of the present line by its similar structure as well as by its contrasted sense. For the feeling in ‘MASK MASK MASK’ which, as has been remarked elsewhere, is in fact the key-note of the Aeneid, comp. vv. 631 foll. below, and such passages as 1. 437.",Urbem orant ; taedet pelagi perferre laborem,617,1,,,,"quo fata trahunt retrahuntque, sequamur",heu tot vada fessis et tantum superesse maris,,,False,False
90684586,aeneid_book1,Conington,"These four deities are chosen, as Henry remarks, as typical of the primitive and golden age of Rome . MASK has been mentioned before in a similar connexion MASK , Romulus and Remus MASK . The union of the two latter, as Heyne observes, symbolizes the end of civil broils. Numa (Livy 1. 21) established the worship of MASK. Comp. Hor. Car. Saec. 57, “MASK MASK MASK MASK MASK MASK MASK MASK MASK” ‘MASK’ occurs 5. 744, as an epithet of MASK.","cana Fides , et Vesta , Remo cum fratre Quirinus",292,1,,,,"cana Fides, et Vesta, Remo cum fratre Quirinus","cana Fides, et Vesta",,,True,True
