uuid,book_title,commenter,Full_Mask_comment,answer_quote_text,answer_quote_idx,num_sents,close_reading_example,explanation_human,human_eval_set,response_anthropic_claude-sonnet-4.5_task1_v1_text_simple_edited_window,response_deepseek_deepseek-v3.2_task1_v1_text_simple_edited_window
94256236,aeneid_book8,Servius,"fatum saepe pro morte positum legitur , 'MASK' ergo letiferum .",FATIFERUMQUE ENSEM,621,1,,,,fatiferumque ensem,fatiferumque ensem
68553774,aeneid_book5,Servius,"ordo est : iubet caedere MASK MASK , id est rite peragi sacrificium , et sic solvi MASK : sic in septimo “MASK MASK MASK MASK MASK“ , id est rite . 'MASK' autem quo naves ad terram ligantur .",SOLVIQUE EX ORDINE FUNEM,773,1,,,,solvique ex ordine funem,"Tris Eryci vitulos et Tempestatibus agnam caedere deinde iubet, solvique ex ordine funem."
17434163,aeneid_book6,Servius,"MASK “MASK MASK MASK MASK MASK“ . et hinc ostenditur quod diximus , iuncta esse haec tria : Acheronta , Stygem , Cocyton . de his autem nascuntur alia , unde est “MASK MASK MASK MASK MASK“ .",INDE UT STYGIA PROSPEXIT AB UNDA,385,1,,,,atque omnem Cocyto eructat harenam,Cocytusque sinu labens circumvenit atro
74640562,aeneid_book8,Servius,"unum vacat , aut 'MASK', aut 'MASK', ut “MASK MASK MASK MASK MASK MASK MASK“ : tale est et illud “MASK MASK MASK MASK“ .",POST HINC AD NAVES GRADITUR,546,1,,,,"atque animum nunc huc celerem, nunc dividit illuc",electro auroque recocto
96585365,aeneid_book6,Servius,"obtineat , custodiat , inhabitet , ut “MASK MASK MASK MASK MASK MASK MASK“ .",SERVET,402,1,,,,habitatque sub alto pectore,vestibulum exsomnis servat noctesque diesque
6256800,aeneid_book1,Servius,"volubilibus , et est participium pro nomine . volvens enim est qui volvit , volubilis qui volvitur . anni autem volvuntur , non volvunt , ut est “MASK MASK MASK MASK MASK MASK MASK MASK“ . alii quia deficit lingua Latina participio praesenti passivo praesens activum positum volunt , ut “MASK MASK“ et “MASK MASK“ quae quassetur .",VOLVENTIBUS,234,1,,,,volventibus annis,volventibus annis
71119013,aeneid_book11,Servius,quantum ad mare pertinet : nam terrae prima est .,EXTREMAMQUE,626,1,,,,terrae,At medias inter caedes exsultat Amazon
11608067,aeneid_book11,Servius,modo 'MASK'.,MUSSANT,454,1,,,,victorem Latio Pallanta ferebat,quae modo victorem Latio Pallanta ferebat
51741338,aeneid_book9,Servius,"per genetivum frequentius utimur hac figura , quam per ablativum . sane hic secutus veteres cuius rei MASK addidit , cum alibi subtraxerit , ut “MASK MASK MASK MASK“ et “MASK MASK MASK MASK MASK MASK“ .",DIVES EQUUM,26,1,,,,cuius rei,Stygii per flumina fratris
2496498,aeneid_book6,Servius,"'MASK MASK MASK' dicimus , non 'MASK MASK': quod qui dicunt decipiuntur propter 'MASK MASK MASK'.",INSISTERE LIMEN,563,1,,,,sola sub nocte,regere imperio populos
87044754,aeneid_book9,Servius,"ab hoc officio et ab hac audacia accessu temporis inferior non probabor , qualiscumque fortuna comitetur . id est numquam aut MASK secunda fortuna acciderit , aut MASK adversa , ut MASK MASK mei faciat , hoc est neque secundis intumescam , neque adversis deiciar .",ME NULLA DIES TAM FORTIBUS AVSIS DISSIMILEM ARGVERIT,279,1,,,,fortuna secunda aut adversa cadat,fortuna secunda aut adversa cadat
86614466,aeneid_book7,Servius,"alibi per accusativum , ut “MASK MASK MASK MASK MASK MASK“ . et hoc secundum naturam est , nam 'MASK MASK MASK' dicimus : per dativum enim figuratum est .",MUROQUE SUBIBANT,161,1,,,,tendit iter velis portumque relinquit,sanguine Troiano et Rutulo dotabere
92511118,aeneid_book5,Servius,id est inlustrabat .,INCENDEBAT,87,1,,,,conlucent flammis,et Iovis imperium et cari praecepta parentis edocet
7974537,aeneid_book4,Servius,"Proserpinam raptam a Dite patre Ceres cum incensis faculis MASK orbem terrarum requireret , MASK trivia eam vel quadrivia vocabat clamoribus . unde permansit in eius sacris , ut certis diebus MASK compita a matronis exerceatur ululatus , sicut in Isidis sacris , ubi est imitatio inventi Osiridis , quem dilaniatum a Typhone eius fratre uxor Isis MASK totum orbem requisisse narratur : Iuvenalis “MASK MASK MASK MASK MASK“ . Hecaten autem causa invocat ultionis . unde etiam furias vocat , sed usurpative modo diras dixit : nam 'MASK' in caelo sunt , ut “MASK MASK MASK MASK MASK“ : 'MASK' in terris , 'MASK' apud inferos : unde et tres esse dicuntur . sed haec nomina confundunt poetae . 'MASK' vero , hoc est Tisiphone : nam Graece MASK ultio dicitur . 'MASK' autem pro 'MASK MASK'. et est participium sine verbo , ut 'MASK'.",VLULATA PER URBES,609,1,,,,nocturnisque Hecate triviis ululata per urbes,Dirae ultrices
55532291,aeneid_book8,Servius,"mire sine patris auctoritate nihil confirmat , et tamen hospitem appellat .",NOSTRIS SUCCEDE PENATIBUS HOSPES,123,1,,,,adloquere ac nostris succede penatibus hospes,nostris succede penatibus hospes
15760406,aeneid_book2,Servius,"bene excusat , ne reus sit conscientiae .",EA FAMA VAGATUR,17,1,,,,et quorum pars magna fui,"nec, si miserum Fortuna Sinonem finxit, vanum etiam mendacemque improba finget"
70108395,aeneid_book12,Servius,"per transitum historiae usus est verbis ; nam qui MASK exercitu relaxantur , MASK MASK dicuntur dimitti : Sallustius de Oppio , ubi eum Cotta in contione MASK exercitu cogit abscedere , dicit , “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK“ .",DIMITTERE AB ARMIS,844,1,,,,dimittere ab armis,armaque deposuere umeris
82275314,aeneid_book4,Servius,Sol : unus enim de Titanibus Hyperionis filius contra Iovem non fecit .,TITAN,119,1,,,,"Sol, qui terrarum flammis opera omnia lustras","Sol, qui terrarum flammis opera omnia lustras"
20052901,aeneid_book6,Servius,"id est Terrae : nam , ut supra diximus , nihil est aliud nox nisi umbra terrarum .",MAGNAEQUE SORORI,250,1,,,,nox abstulit atra colorem,ubi caelum condidit umbra Iuppiter
81594594,aeneid_book12,Servius,"hypallage est pro 'MASK MASK MASK MASK MASK'. movebatur autem , intellegens se esse tantorum causam malorum , sicut supra ipse “MASK MASK MASK MASK MASK MASK MASK“ .",IGNEM SUBIECIT RUBOR,66,1,,,,subito mentem turbata dolore,et solus ferro crimen commune refellam
6586142,aeneid_book3,Servius,"promunctorium Siciliae est secundum Sallustium , dictum a gubernatore Hannibalis illic sepulto , qui fuerat occisus per regis ignorantiam , cum se eius dolo propter angustias freti crederet esse deceptum , veniens de Petilia : quamquam legerimus , etiam ante Pelorum dictum .",PELORI,411,1,,,,angusti rarescent claustra Pelori,angusti rarescent claustra Pelori
45816712,aeneid_book5,Servius,"non tantum heroicum est quod dat Aeneae gubernandi scientiam , sed etiam ad prooeconomiam pertinet : dicturus enim est “MASK MASK MASK MASK MASK MASK MASK“ .",IAMDUDUM,27,1,,,,ipse ratem nocturnis rexit in undis,"Ipse gubernaclo rector subit, ipse magister"
47326229,aeneid_book8,Servius,"epulae deorum propriae , ut Iovis cena .",DAPES,175,1,,,,perpetui tergo bovis,communemque vocate deum et date vina volentes
90110704,aeneid_book10,Servius,sicut Mezentius odiorum et telorum totius exercitus .,CAELIQUE MARISQUE,695,1,,,,"omnibus uni, uni odiisque viro telisque frequentibus instant","omnibus uni, uni odiisque viro telisque frequentibus instant"
90566941,aeneid_book8,Servius,"crimen Antonii , quod MASK MASK Romanus pugnet .",OPE BARBARICA,685,1,,,,ope barbarica variisque Antonius armis,ope barbarica
44662245,aeneid_book2,Servius,"non aliter . dicebant veteres 'MASK' et 'MASK', unde et 'MASK'.",HAVD SECUS,382,1,,,,haud secus,haud secus
97453119,aeneid_book5,Servius,bene rem notam per transitum tetigit : agonalis enim moris fuerat post sacrificia ad certamen venire .,CAESIS UT FORTE IVVENCIS,329,1,,,,"Post, ubi confecti cursus, et dona peregit",sacravimus aras. Iamque dies
30754165,aeneid_book7,Servius,"non mirum si sacrilegus et contemptor deorum contra piam gentem prior arma corripuit . et scienda est poetae adfectatio — nam ablepsiam nefas est dicere — hic enim aliquos commemorat , quos in bello non invenis , item in sequentibus aliquos invenimus , quorum hic nullam fecit commemorationem .",PRIMUS INIT BELLUM,647,1,,,,contemptor divom Mezentius,contemptor divom Mezentius
77855676,aeneid_book1,Servius,"aut ordo est 'MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK'. et usus est hoc genere elocutionis , quo et Terentius , qui dixit “MASK MASK MASK MASK MASK“ . atqui nihil tam contrarium ; omnes enim generale est , plerique speciale : ordo ergo est , quod omnes faciunt adulescentuli , ut animum ad aliquod studium adiungant , plerique equos alere , plerique canes . aut certe 'MASK' vacat , ut superius diximus istas frequenter vacare particulas , ut ipse Vergilius “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK“ . nemo enim dicit 'MASK MASK MASK', sed 'MASK MASK': vacat ergo 'MASK'. item in Lucilio “MASK MASK MASK MASK“ 'MASK' vacat , nam de uno loquebatur . ergo 'MASK MASK MASK' pro 'MASK MASK' posuit , cui contrarium ponebant veteres 'MASK', id est 'MASK MASK MASK' 'MASK MASK' pro 'MASK MASK'. sane legitur et 'MASK MASK', ut sit 'MASK MASK MASK'.",ANTHEA SI QUEM,181,1,,,,omnis in Ascanio cari stat cura parentis,"O passi graviora, dabit deus his quoque finem."
33454479,aeneid_book3,Servius,pro postquam ; et est temporis adverbium .,AST UBI,410,1,,,,POSTQUAM res Asiae Priamique evertere gentem,POSTQUAM
66256628,aeneid_book7,Servius,"legitur in arte quod 'MASK MASK MASK MASK MASK' positivo tantum iungantur : quod tamen tunc observatur si ponantur ad augmentum istae particulae ; tunc enim vitiosam faciunt elocutionem . ceterum si ad exaequationem positae sint , possunt vel comparativo vel superlativo vel pro his gradibus ipsae inter se iungi : hinc ergo est 'MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK': non enim ad praelationem positae sunt , sed ad exaequationem . maiores enim nostri vitia non in dicto , sed in significatione esse voluerunt . hinc est in Sallustio “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK“ : nam MASK hic exaequatio est , non comparatio .",TAM MAGIS ILLA FREMENS ET TRISTIBUS EFFERA FLAMMIS QUAM MAGIS EFFVSO CRVDESCUNT SANGUINE PUGNAE,787,1,,,,tam magis,"tam magis illa fremens et tristibus effera flammis, quam magis effuso crudescunt sanguine pugnae"
20411055,aeneid_book10,Servius,"crudelem , cruentum .",CRUDUM,682,1,,,,spolia illa cruenti,crudum per costas exigat ensem
71929677,aeneid_book11,Servius,"Probus aut cespite aut 'MASK' pro campo , scilicet quod caespes gleba sit .",CAESPITE,566,1,,,,gramineo donum Triviae de caespite vellit,gramineo donum Triviae de caespite vellit
65767624,aeneid_book10,Servius,officium .,OPUS,469,1,,,,pietatis imago,teque parentum manibus et cineri
74048499,aeneid_book6,Servius,"secundum Atticam linguam genetivus singularis Graecus est , cum ipse alibi “MASK MASK“ . quidam tamen hic subaudiunt 'MASK', id est pinxit , ut Horatius “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK“ . sane non nulli hunc Androgeum non ita , quemadmodum supra dictum est , insidiis occisum , sed a Marathonio tauro , qui flammas vomere dicebatur , conflagratum tradunt .",LETUM ANDROGEO,20,1,,,,letum Androgeo,letum Androgeo
29250959,aeneid_book2,Servius,ubi exercitus sit 'MASK' dicuntur : unde est “MASK MASK MASK MASK MASK MASK MASK“ .,CASTRA,462,1,,,,"Hic Dolopum manus, hic saevus tendebat Achilles",inclusos utero Danaos
27064518,aeneid_book9,Servius,id est semper militamus .,CANITIEM GALEA PREMIMUS,609,1,,,,Omne aevum ferro teritur,Omne aevum ferro teritur
22775265,aeneid_book12,Servius,"apud maiores orichalcum pretiosius metallis omnibus fuit : namque sicut Lucretius dicit , cum primum homines silvas incendissent , nullarum adhuc rerum periti , terra casu fertilis omnium , ex incendii calore desudavit metalla , inter quae orichalcum pretiosius visum est , quod et splendorem auri et aeris duritiam possideret . namque primum de auro securis facta displicuit causa mollitiae ; simili ratione et argenti contemptus est usus , mox aeris ; orichalcum placuit , donec veniretur ad ferrum : unde etiam saecula ita dicuntur fuisse divisa . orichalcum autem fuisse pretiosum etiam Plautus docet , qui ait in Milite Glorioso “MASK MASK MASK MASK MASK MASK“ .",ALBOQUE ORICHALCO,87,1,,,,auro squalentem alboque orichalco,auro squalentem alboque orichalco
6175054,aeneid_book1,Servius,id est quomodo .,QUA,676,1,,,,quo numine laeso,"regemque dedit, qui foedere certo et premere et laxas sciret dare iussus habenas"
