uuid,book_title,commenter,Full_Mask_comment,answer_quote_text,answer_quote_idx,num_sents,close_reading_example,explanation_human,human_eval_set,response_simple_anthropic_claude-sonnet-4.5_v1_text_text,response_simple_deepseek_deepseek-v3.2_v1_text_text
81594594,aeneid_book12,Servius,"hypallage est pro 'MASK MASK MASK MASK MASK'. movebatur autem , intellegens se esse tantorum causam malorum , sicut supra ipse “MASK MASK MASK MASK MASK MASK MASK“ .",IGNEM SUBIECIT RUBOR,66,1,,,,me me adsum qui feci in me convertite ferrum,"me, me, adsum qui feci, in me convertite ferrum, o Rutuli! mea fraus omnis"
6586142,aeneid_book3,Servius,"promunctorium Siciliae est secundum Sallustium , dictum a gubernatore Hannibalis illic sepulto , qui fuerat occisus per regis ignorantiam , cum se eius dolo propter angustias freti crederet esse deceptum , veniens de Petilia : quamquam legerimus , etiam ante Pelorum dictum .",PELORI,411,1,,,,,
45816712,aeneid_book5,Servius,"non tantum heroicum est quod dat Aeneae gubernandi scientiam , sed etiam ad prooeconomiam pertinet : dicturus enim est “MASK MASK MASK MASK MASK MASK MASK“ .",IAMDUDUM,27,1,,,,"caelo te tantum, Palinure, fidebam,
infelix! nudus in ignota, Palinure, iacebis
harena",litora curva pete
47326229,aeneid_book8,Servius,"epulae deorum propriae , ut Iovis cena .",DAPES,175,1,,,,dapibus mensisque repostis,epulae deorum propriae
90110704,aeneid_book10,Servius,sicut Mezentius odiorum et telorum totius exercitus .,CAELIQUE MARISQUE,695,1,,,,"unus in arma ruit, totius que agmina contra","haud aliter iustae quibus est Mezentius irae, non ulli est animus stricto concurrere ferro, sed missilibus longe et vasto clamore lacessunt."
90566941,aeneid_book8,Servius,"crimen Antonii , quod MASK MASK Romanus pugnet .",OPE BARBARICA,685,1,,,,sequiturque (nefas) Aegyptia coniunx,sequiturque (nefas) Aegyptia coniunx
44662245,aeneid_book2,Servius,"non aliter . dicebant veteres 'MASK' et 'MASK', unde et 'MASK'.",HAVD SECUS,382,1,,,,non aliter,timeo Danaos et dona ferentis
97453119,aeneid_book5,Servius,bene rem notam per transitum tetigit : agonalis enim moris fuerat post sacrificia ad certamen venire .,CAESIS UT FORTE IVVENCIS,329,1,,,,"Haec ubi deflevit, taurum mactabat honori
Neptuni, taurum Apollini, nigram Hiemali,
albam Zephyris, equum Oceano.
Postera vix summos spargebat lumine montis
orta dies, cum iam ex omni certamine cives
convenere loco.","postquam exempta fames et amor compressus edendi,"
30754165,aeneid_book7,Servius,"non mirum si sacrilegus et contemptor deorum contra piam gentem prior arma corripuit . et scienda est poetae adfectatio — nam ablepsiam nefas est dicere — hic enim aliquos commemorat , quos in bello non invenis , item in sequentibus aliquos invenimus , quorum hic nullam fecit commemorationem .",PRIMUS INIT BELLUM,647,1,,,,"at Mezentius, contemptor divum","nec Tiburtia muros
nomina gentis habent, nec tu, maxime Tiburtu,
inventor, nec frater tibi, lucide Catreu,
interitus. geminosque pari de stirpe creatos,
Coram et Catillus, fortisque ad bella coegit
Argiva iuventus, patrisque ex agmine regis
qui Veiens, qui deinde Sabinus,
arator, regem in Alba, cum fascibus, Curibusque
ille severis, et te, Anxure, minacem,
et te, Amate, idem."
77855676,aeneid_book1,Servius,"aut ordo est 'MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK'. et usus est hoc genere elocutionis , quo et Terentius , qui dixit “MASK MASK MASK MASK MASK“ . atqui nihil tam contrarium ; omnes enim generale est , plerique speciale : ordo ergo est , quod omnes faciunt adulescentuli , ut animum ad aliquod studium adiungant , plerique equos alere , plerique canes . aut certe 'MASK' vacat , ut superius diximus istas frequenter vacare particulas , ut ipse Vergilius “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK“ . nemo enim dicit 'MASK MASK MASK', sed 'MASK MASK': vacat ergo 'MASK'. item in Lucilio “MASK MASK MASK MASK“ 'MASK' vacat , nam de uno loquebatur . ergo 'MASK MASK MASK' pro 'MASK MASK' posuit , cui contrarium ponebant veteres 'MASK', id est 'MASK MASK MASK' 'MASK MASK' pro 'MASK MASK'. sane legitur et 'MASK MASK', ut sit 'MASK MASK MASK'.",ANTHEA SI QUEM,181,1,,,,non omnis eadem mirantur amantque,vocabitur hic quoque votis aut famam et fata nepotum aspera tum
33454479,aeneid_book3,Servius,pro postquam ; et est temporis adverbium .,AST UBI,410,1,,,,pro postquam,prosequitur surgens a puppi ventus euntis
66256628,aeneid_book7,Servius,"legitur in arte quod 'MASK MASK MASK MASK MASK' positivo tantum iungantur : quod tamen tunc observatur si ponantur ad augmentum istae particulae ; tunc enim vitiosam faciunt elocutionem . ceterum si ad exaequationem positae sint , possunt vel comparativo vel superlativo vel pro his gradibus ipsae inter se iungi : hinc ergo est 'MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK': non enim ad praelationem positae sunt , sed ad exaequationem . maiores enim nostri vitia non in dicto , sed in significatione esse voluerunt . hinc est in Sallustio “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK“ : nam MASK hic exaequatio est , non comparatio .",TAM MAGIS ILLA FREMENS ET TRISTIBUS EFFERA FLAMMIS QUAM MAGIS EFFVSO CRVDESCUNT SANGUINE PUGNAE,787,1,,,,"quo iustior alter nec pietate fuit, nec bello maior et armis",magis ille tremens oculisque ardentibus ambit magis quam ferro magis quam tela timendus
20411055,aeneid_book10,Servius,"crudelem , cruentum .",CRUDUM,682,1,,,,crudelem Mezentium,...
71929677,aeneid_book11,Servius,"Probus aut cespite aut 'MASK' pro campo , scilicet quod caespes gleba sit .",CAESPITE,566,1,,,,gleba,pro campo
65767624,aeneid_book10,Servius,officium .,OPUS,469,1,,,,officium,"'hoc precor, oro, unum miserere parentis,
et te, si qua pii s est caelesti numine cura,
talem oro genitorem parere. nos tibi, nos
patriaeque tuae, pulchra Lausus tegebat
corpora. nos saevo multum te credidimus hosti.
da corpus tumulo et consorti semine terrae.
ne, quaeso, ius hoc animo sine, quod cumque meremur,
quin etiam miserum audebis nomen amici
hoc solum, et saevi contemnis munera Martis?
occidit, occideritque sinas cum sanguine Turni.
hoc erat, alma parens, quod me per tela, per ignis
eripis, ut medii s hostem in penetralibus utque
Ascanium patremque meum iuxtaque Creusam
alterum in alterius mactatos sanguine cernam?
da, pater, hoc nostris aboleri dedecus armis,
hoc iuveni, et tecum, tua, si qua est, gloria, cedat.
nullum in caede nefas, nec sic ad proelia veni,
nec tecum hos mactare paro; da fata parenti,
et mea.'"
74048499,aeneid_book6,Servius,"secundum Atticam linguam genetivus singularis Graecus est , cum ipse alibi “MASK MASK“ . quidam tamen hic subaudiunt 'MASK', id est pinxit , ut Horatius “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK“ . sane non nulli hunc Androgeum non ita , quemadmodum supra dictum est , insidiis occisum , sed a Marathonio tauro , qui flammas vomere dicebatur , conflagratum tradunt .",LETUM ANDROGEO,20,1,,,,Androgeoae,Androgeique; umeris nec non et pectore nudis
29250959,aeneid_book2,Servius,ubi exercitus sit 'MASK' dicuntur : unde est “MASK MASK MASK MASK MASK MASK MASK“ .,CASTRA,462,1,,,,"quidnam optent, quid iam possint obsistere Teucri",Tenedos tranquilla per alta (horresco referens)
27064518,aeneid_book9,Servius,id est semper militamus .,CANITIEM GALEA PREMIMUS,609,1,,,,nos bello e tanto diuersi et Marte uagamur,"bellum, o terra hospita, portas"
22775265,aeneid_book12,Servius,"apud maiores orichalcum pretiosius metallis omnibus fuit : namque sicut Lucretius dicit , cum primum homines silvas incendissent , nullarum adhuc rerum periti , terra casu fertilis omnium , ex incendii calore desudavit metalla , inter quae orichalcum pretiosius visum est , quod et splendorem auri et aeris duritiam possideret . namque primum de auro securis facta displicuit causa mollitiae ; simili ratione et argenti contemptus est usus , mox aeris ; orichalcum placuit , donec veniretur ad ferrum : unde etiam saecula ita dicuntur fuisse divisa . orichalcum autem fuisse pretiosum etiam Plautus docet , qui ait in Milite Glorioso “MASK MASK MASK MASK MASK MASK“ .",ALBOQUE ORICHALCO,87,1,,,,et laevis ocreas electro auroque recocto,aurea aetas aureus orichalcum
6175054,aeneid_book1,Servius,id est quomodo .,QUA,676,1,,,,Unable to determine without sufficient context from the literary analysis excerpt and access to the full text of Aeneid Book 1,id est nati fratrum
