uuid,book_title,commenter,Full_Mask_comment,answer_quote_text,answer_quote_idx,num_sents,close_reading_example,explanation_human,human_eval_set
58652626,aeneid_book1,Conington,"(6. 403) characterizes the hero, as MASK does Ulysses in the commencement of the Odyssey. The contrast, however, between piety and sufferings is made in the case of Ulysses himself, Od. 1. 60 foll., 66 foll. ‘MASK’ includes the performance of all duties to gods, parents, kinsmen, friends, and country. “MASK MASK” is not uncommon in Cicero; see Forc.",,10,0,,,
78361059,aeneid_book1,Conington,It is difficult to say whether ‘MASK MASK’ is a dat. with an ellipsis of the verb substantive or the ablative.,,11,0,,,
93376525,aeneid_book1,Conington,‘MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK’,,12-33,0,,,
90835700,aeneid_book1,Conington,"said with reference to Virg.'s own age. For the parenthetical construction ‘MASK MASK MASK MASK’ comp. v. 530 below, “MASK MASK MASK MASK MASK MASK MASK MASK” ‘MASK MASK MASK’ ‘MASK MASK MASK’ as “MASK MASK MASK” 7. 422, are settlers from Troy .",,12,0,,,
10715857,aeneid_book1,Conington,"as contrasted with the adjacent islands. The sense is clear (“MASK MASK MASK MASK MASK MASK MASK” Dryden), though it is not easy to determine the exact grammatical position of ‘MASK MASK’ The choice seems to lie between connecting it with ‘MASK’ and making it an adverbial adjunct of ‘MASK MASK’ i. q. ‘MASK MASK MASK’ The latter is a Grecism (Wund. comp. “MASK MASK MASK MASK MASK” MASK ), but may perhaps be supported by the use of “MASK” 3. 489, note. It appears that some in the time of Serv. actually took ‘MASK’ with ‘MASK MASK’",,13,0,,,
32699194,aeneid_book1,Conington,"2. 22. ‘MASK’ includes all sources of power. ‘MASK’ is the epithet of war (9. 667., 11. 635., 12. 124) applied to the warlike nation. ‘MASK MASK MASK MASK MASK MASK MASK’ “MASK MASK MASK MASK” MASK .",,14,0,,,
44607874,aeneid_book1,Conington,"Germ. comp. Od. 8. 284, MASK MASK MASK MASK MASK MASK MASK . ‘MASK MASK MASK MASK’ = “MASK MASK MASK MASK MASK” The Astarte of the Phoenicians is identified, in the loose way common among the ancients, with Juno. On the temple of Hera at Samos, see Hdt. 3. 60.",,15,0,,,
74330223,aeneid_book1,Conington,"as dweller in the temple. Comp. v. 447. “MASK MASK MASK MASK MASK MASK MASK” MASK . For Juno's arms, comp. 2. 614, note. Her chariot is from Il. 5. 720 foll. The Phoenician Astarte was represented seated on a lion.",,16,0,,,
52068894,aeneid_book1,Conington,"‘MASK MASK MASK MASK MASK’ instead of Rome . The dative, as in 8. 65., 10. 203. For the pronoun taking the gender of the following substantive, see Madv. § 313.",,17,0,,,
63069654,aeneid_book1,Conington,"is similarly used 6. 882. “MASK MASK MASK” 4. 652., 11. 701. Med. 2 m. p. has ‘MASK MASK’ ‘MASK MASK MASK’ in that early age, long before it became the actual rival of Rome . ‘MASK’ determines the construction, the infinitive being the object of both verbs. ‘MASK’ is often followed by an infinitive, the subject being the same as the nominative to the verb, as “MASK MASK MASK MASK MASK” Hor. 1 Ep. 10. 20, “MASK MASK MASK MASK MASK MASK” Pers. 5. 139. ‘MASK MASK’ on the other hand, takes an accusative, as “MASK MASK MASK” These two constructions are united, the sentence ‘MASK MASK MASK’ standing in the relation of an ordinary infinitive to ‘MASK MASK’ and of an accusative to ‘MASK MASK’ Three MSS. give ‘MASK MASK’ and ‘MASK’ has been conjectured. Some have thought ‘MASK MASK MASK MASK’ spurious, on the strength of a notice of Serv., which really refers to v. 534 beiow.",,18,0,,,
95676649,aeneid_book1,Conington,"2. 164, &c., MASK MASK , ‘MASK’ or ‘MASK’ The present infinitive, ‘MASK MASK’ denotes the event as existing in the designs of fate. ‘MASK MASK’ as in 10. 145. Gossrau, following a suggestion of Serv., thinks the ‘MASK’ is Scipio, which is very improbable, and besides makes ‘MASK MASK’ v. 21, inexplicable; and the same objection applies to Ladewig's more plausible explanation of ‘MASK’ as the great Trojan families among the Romans.",,19,0,,,
08747844,aeneid_book1,Conington,"‘MASK MASK’ See on 7. 99. ‘MASK MASK’ as in 2. 652, &c. As might be expected, some MSS. have ‘MASK MASK’",,20,0,,,
16882994,aeneid_book1,Conington,"comp. MASK , and “MASK MASK MASK” Hor. 3. Od. 17. 9. ‘MASK’ is a personification, and therefore takes the epithet ‘MASK MASK’ ‘MASK MASK’ i.e. ‘MASK MASK MASK’ rather than ‘MASK MASK MASK MASK’ but it is not very clear, as, though in the latter case the distinction between the ‘MASK’ and the ‘MASK’ springing from it seems unmeaning, the former view creates a tautology. In v. 235, where the expression is somewhat parallel, “MASK MASK MASK MASK” seems epexegetical of “MASK MASK” Serv. mentions that Probus marked this and the next line as doubtful; but it seems to have been merely a critical opinion. ‘MASK’ here seems to be equivalent to ‘MASK MASK’ as in Sil. 10. 573, “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK”",,21,0,,,
43311293,aeneid_book1,Conington,"like “MASK MASK” and “MASK MASK” ‘MASK’ being probably the dative, as ‘MASK’ seems to be 2. 325. But there is room for doubt in both instances. It is hard to fix the precise meaning of ‘MASK MASK’ The passage 3. 375, “MASK MASK MASK MASK MASK MASK MASK MASK” is equally obscure; and we are left to choose between the ideas of a cycle of events (which is recommended by “MASK MASK MASK” in the passage in A. 3), an urn in which lots are shaken, the threads of a spindle (which is the view of Serv.), and a book. I have returned to the common orthography ‘MASK MASK’ as being apparently the only one known to the MSS. of Virg.: but the word must be derived from “MASK” as “MASK” from “MASK” unless, deriving it from “MASK” we pronounce it as a trisyllable by synizesis. “MASK” on the other hand seems clearly to come from “MASK” like “MASK” from “MASK MASK” so that we must suppose a synizesis in MASK “MASK MASK MASK MASK MASK MASK MASK MASK MASK”",,22,0,,,
64838022,aeneid_book1,Conington,"and ‘MASK’ are applied to the Trojan war, as contrasted with this new antipathy of Juno to the Trojans, caused by her anxiety for Carthage, as the former had been caused by her love for Argos. ‘MASK MASK’ adverbially, as in MASK .",,23,0,,,
13165003,aeneid_book1,Conington,"The words from ‘MASK’ to ‘MASK’ are parenthetical. These ‘MASK MASK’ are distinguished from the ‘MASK MASK MASK’ in other words, from the ‘MASK’ themselves, the bitterness displayed in or produced by the war. Virg. had already, v. 24, suggested one cause in her love for Argos; but though this supplies a parallel to her present feeling, it scarcely accounts for its existence; so he goes back to show that her old quarrel with Troy had other grounds. ‘MASK’ is the pang, put for the affront. It is only in the sense of the affront that it can properly be joined with ‘MASK MASK MASK’ understood of being forgotten. So “MASK MASK” v. 9. Or if ‘MASK’ is taken in its ordinary sense, ‘MASK MASK’ will shift its meaning, ‘MASK MASK MASK MASK MASK’",,25,0,,,
17832827,aeneid_book1,Conington,‘MASK MASK MASK MASK MASK MASK MASK MASK MASK’ explaining the ‘MASK MASK MASK’ The legend does not appear in Hom. earlier than Il. 24. 29 foll.,,27,0,,,
37976271,aeneid_book1,Conington,"‘MASK MASK MASK’ referring to the birth of Dardanus, who was the son of Jupiter by Electra, daughter of Atlas. The carrying off of Ganymede, who belonged to a later generation of the royal house of Troy , was a further provocation.",,28,0,,,
45308092,aeneid_book1,Conington,"The construction is resumed after the parenthesis with some variation, ‘MASK MASK MASK’ referring to the subjectmatter of the parenthesis. ‘MASK’ for “MASK MASK” 2. 71, &c. Weidner connects it with ‘MASK MASK’ which is very unlikely. ‘MASK MASK’ is equivalent to “MASK MASK MASK MASK” or “MASK MASK MASK”",,29,0,,,
17370492,aeneid_book1,Conington,"who had been left by the Greeks. Comp. Cic. de Sen. 6. 19, “MASK MASK MASK MASK MASK MASK MASK MASK“ Karthaginem ab avo relictam ”MASK MASK MASK” quoted by Forb. Comp. Aesch. Ag. 517, MASK MASK MASK MASK MASK . For the orthography ‘MASK MASK’ see note on MASK . Here Rom. has ‘MASK MASK’",,30,0,,,
34138621,aeneid_book1,Conington,"inasmuch as their destiny forbids them to rest. Comp. “MASK MASK MASK” v. 2. The opposition which Henry supposes between the impulse of the fates and the repulse of Juno, though true in fact, does not seem to be distinctly intended here. They are said to wander round the seas rather than over them, doubtless for variety's sake. In v. 667 below Aeneas is tossed on the sea “MASK MASK MASK MASK”",,32,0,,,
73133654,aeneid_book1,Conington,"for ‘MASK MASK’ as in Livy 25. 11, “MASK MASK MASK MASK MASK MASK MASK” The metaphor may be continued in ‘MASK MASK’",,33,0,,,
73231307,aeneid_book1,Conington,‘MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK’,,34-49,0,,,
59283226,aeneid_book1,Conington,"Virg. plunges “MASK MASK MASK MASK” as the commentators remark. See Introduction to this Book. The departure from Sicily closes Aeneas's narrative, 3. 715. Forb. takes ‘MASK MASK MASK MASK’ to mean ‘MASK MASK MASK MASK MASK’ or of those who were MASK Sicily, comparing 11. 903, “MASK MASK MASK MASK MASK” but there the sense is determined by the context: and the common rendering, ‘MASK MASK MASK MASK MASK’ is more natural, and equally good Latin. Comp. MASK. g. “MASK MASK MASK MASK” Cic. Sull. 9. Generally, though not universally, where the noun MASK the gen. is a thing, the gen. is that of the object; and, MASK the present case, we more naturally think of the Trojans looking towards Sicily, than of Sicily looking towards the Trojans.",,34,0,,,
43421491,aeneid_book1,Conington,"Heyne puts a comma after ‘MASK MASK’ which is the punctuation of Med., but MS. authority on such points is of little value. Wagn. omits the comma altogether, on the ground that ‘MASK’ belongs to both verbs; which of course it does, in sense; but in construction it must be taken with the one or the other, and it is obviously better taken with the former. Virg., in fact, is imitating Od. 5. 269, MASK MASK MASK MASK MASK MASK MASK , Ulysses's voyage there answering to Aeneas's here. ‘MASK MASK’ ‘MASK MASK MASK MASK’ see note on MASK . “MASK MASK MASK MASK MASK” 10. 214. “MASK MASK” (“MASK” neut. nom.) occurs Enn. A. 14. 1.",,35,0,,,
85365904,aeneid_book1,Conington,"‘MASK MASK MASK MASK’ with a derivative notion of secrecy. Comp. Aesch. Eum. 156, MASK — MASK MASK MASK MASK . On a comparison of MASK “MASK MASK MASK MASK MASK” it is perhaps better to take ‘MASK’ closely with ‘MASK’ than, as the order might warrant, with ‘MASK MASK’",,36,0,,,
98039058,aeneid_book1,Conington,"“MASK MASK MASK” says Serv., comparing v. 225 below and 2. 93. ‘MASK MASK MASK’ as opposed to ‘MASK MASK MASK MASK’ is to soliloquize, if the person is alone; to think or mutter, if the person is in company. It is the MASK MASK MASK MASK of Od. 5. 285, where Poseidon takes the part taken by Juno here. ‘MASK MASK MASK MASK’ for this use of the accus. and infin. to denote indignation or surprise, see Madv. § 399. In Greek the article is not unfrequently prefixed to the infin. in this construction. ‘MASK MASK’ ‘MASK’ For one aspect of the word we may comp. 7. 310, “MASK MASK MASK MASK” for another, Hor. 1 Ep. 13. 11, “MASK MASK MASK”",,37,0,,,
24589110,aeneid_book1,Conington,"MASK . As Henry remarks, it means not merely to turn way, but to turn back. Rom. originally and Gud. have ‘MASK MASK’",,38,0,,,
58532601,aeneid_book1,Conington,"generally gives a reason (comp. vv. 59, 661 below, MASK , MASK , MASK ), sometimes with irony, and here with indignation.—The use of ‘MASK MASK’ which implies a negative answer, expresses incredulity that Pallas should have done what Juno cannot. Hom., Od. 1. 326, makes the minstrel sing to the suitors of the MASK MASK MASK MASK MASK MASK MASK MASK MASK . But in Od. 3 and 4, where the return of the Greeks is described in detail, he says nothing of a general storm. Ajax, in Od. 4. 499, is shipwrecked, but saved on a rock, in spite of the enmity of Pallas, by Poseidon, who afterwards, provoked by his impious boast that he would escape in spite of the gods, cleaves the rock on which he is sitting, and drowns him. Aeschylus, like Virg., mentions a general storm, and implies (through the forebodings of Clytaemnestra) that it was the punishment of some impiety. The crime of Ajax is fixed by Lycophron and others to be insolence offered to Cassandra in the temple of Pallas. Virg. however merely mentions him among others in 2. 403, where Cassandra is dragged from sanctuary.",,39,0,,,
58097205,aeneid_book1,Conington,"‘MASK MASK’ the crews, as distinguished from the ships. Forb. comp. Il. 14. 47, MASK MASK MASK MASK , MASK MASK MASK MASK .",,40,0,,,
67561306,aeneid_book1,Conington,"So Tryphiodorus v. 650, MASK MASK MASK MASK MASK MASK . I have placed a comma at ‘MASK MASK’ to show that ‘MASK’ is not to be taken with ‘MASK MASK MASK’ but that the second clause is distinct from and epexegetic of the first. Comp. v. 251 below, “MASK MASK MASK MASK” But it is hard to judge in cases like this, where it is a question of minute considerations. See on 3. 162. ‘MASK’ expresses the Homeric MASK , the infatuation which impels to crime. MASK MASK is twice used of the provocation which Ajax gives to Poseidon, Od. 4. 503, 509. ‘MASK’ is not an adjective, but a patronymic genitive, like MASK MASK MASK . In Cic. de Orat. 2. 66, and MASK , ‘MASK’ is probably the Greek genitive. Hyginus and Dictys Cretensis however are cited by Freund for an adjective, ‘MASK’ For the orthography ‘MASK MASK’ not ‘MASK’ (which is however the reading of Med., supported by some grammarians, and adopted by Ribbeck), see Wagn. on v. 30 above, who decides that where the nominative terminates only in ‘MASK’ the genitive must terminate, not in ‘MASK’ but in ‘MASK MASK’ Rom. and Gud. have ‘MASK MASK’",,41,0,,,
01101600,aeneid_book1,Conington,"So Aesch. Eum. 827, she says of herself, MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK . Juno, in Book 4, raises a thunder-storm, but does not herself (‘MASK’) hurl the thunderbolt. “MASK MASK” and the owl grasping a thunderbolt, are found on coins. ‘MASK MASK’ is of course merely a periphrasis for the lightning. See the passage from Attius cited on v. 44. Comp. Eur. Tro. 80, MASK MASK MASK MASK MASK MASK , MASK MASK MASK MASK MASK MASK (spoken by Pallas).",,42,0,,,
73307004,aeneid_book1,Conington,"Eurip. l.c. makes Zeus send the storm and Poseidon raise the sea, Pallas being merely charged with the lightning. Quinct. Smyrn. 14. 444 foll. follows Virg., making Zeus give all his artillery to Athena for the occasion, and delight in seeing the storm which she raises. He imitates Virg. in the speech which Athena addresses to Zeus, vv. 427 foll., and also in the visit Iris is represented as paying on Athena's account to Aeolia, for the special purpose of making the tempest worse about the headland of Caphareus, vv. 474 foll., though in the latter case his narrative is more summary.",,43,0,,,
93402327,aeneid_book1,Conington,"Comp. MASK “MASK MASK MASK MASK MASK MASK MASK”; and Attius, Clyt. fr. 5 (quoted by Serv. on this passage), “MASK MASK MASK MASK MASK MASK MASK MASK” For ‘MASK’ Probus read ‘MASK MASK’",,44,0,,,
67596531,aeneid_book1,Conington,"Comp. MASK “MASK MASK MASK MASK MASK MASK MASK” ‘MASK’ is the wind or force of the thunderbolt, as in 6. 594. See also on 2. 649. Forb. is right in placing a semicolon only after ‘MASK MASK’ to show that ‘MASK MASK MASK’ &c. is connected with the lines preceding. One or two MSS. have ‘MASK MASK’ which Cornutus ap. Serv. preferred “MASK MASK MASK” ‘MASK’ is a little awkward after ‘MASK MASK’ and the construction “MASK MASK MASK MASK” to impale a person upon a thing, is, as Henry has pointed out, unusual, if not unexampled. ‘MASK’ however is supported by Sen. Ag. 571, “MASK MASK MASK MASK MASK MASK” quoted by Gossrau. Henry's interpretation, making ‘MASK’ abl., and supposing Ajax to be pierced by a fragment of rock hurled at him (‘MASK’ being paralleled with “MASK MASK MASK MASK” 12. 531), agrees to a certain extent with Quinct. Smyrn. 14. 567 foll. (not with Sen. Ag. 552 foll., who follows Hom.); nothing however is there said about piercing Ajax, who is merely said to be overwhelmed by the rock as Enceladus was overwhelmed by Aetna; so that the parallel is hardly made out. W. Ribbeck cites Seneca's poem to Corduba, vv. 13, 14 (Wernsdorf's Poet. Lat. Min. vol. 5, p. 1367), “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK” which is in favour of the common interpretation, as the writer evidently means to speak of his banishment to a rocky island as an impalement.",,45,0,,,
80350631,aeneid_book1,Conington,"Apparently from Il. 18. 364 foll., where Here pleads her dignity as greatest of the goddesses and consort of Zeus, as a reason why she should work her will on the Trojans. ‘MASK MASK’ poetically substituted for the simple copula “MASK MASK” with an allusion, of course, to the majesty of Juno's gait. The word itself, as Henry remarks, does not necessarily imply majestic movement; but this notion is gained by attention being directed to the movement at all, in a context like this; at the same time, of course, that it is enforced by the qualifying words ‘MASK MASK MASK’ &c. Comp. Prop. 2. 2. 6, “MASK MASK MASK MASK MASK MASK” It is probable that Prop. had seen Virg.: see on v. 2 above.",,46,0,,,
29707805,aeneid_book1,Conington,"MASK MASK MASK , Il. 16. 432. ‘MASK MASK’ Juno thinks it strange that she should take so long to subdue a single nation; Venus, on the other hand (v. 251 below), complains that she and her son are persecuted to gratify a single individual, Juno.",,47,0,,,
23687109,aeneid_book1,Conington,"The old reading, unsupported apparently by the better MSS., though one or two have ‘MASK MASK’ was ‘MASK MASK MASK MASK’ Heins. and Heyne recommended, and later editors have restored, ‘MASK MASK MASK’ from Med., Rom., and other MSS. Some MSS. however, including Gud. originally, have ‘MASK MASK’ and this would appear to be the true reading, both from the instances quoted by Wagn. in support of the indicative against the subjunctive ( MASK “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK” and Consolatio ad Liviam Incerti Auctoris, 7, 8), and from the nature of the case. ‘MASK MASK MASK’ would be, ‘MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK’ ‘MASK MASK MASK MASK’ ‘MASK MASK MASK MASK MASK MASK MASK MASK MASK’ If then the subjunctive is less forcible than the indicative, it is precisely because the future is less forcible than the present. Those who read ‘MASK’ explain the change of tense by saying that ‘MASK MASK’ = “MASK MASK”—‘MASK’ couples the presents ‘MASK’ and ‘MASK’ with ‘MASK’—‘MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK’ ‘MASK’ then will express, not so much sequence in time, as a logical relation, like MASK . We may still however comp. “MASK MASK MASK” MASK . ‘MASK’ MASK . ‘MASK MASK’ of offerings, 4. 453., 6. 246, 253, MASK . The general thought seems to be from Poseidon's complaints in two distinct passages of Hom., Il. 7. 446 foll., Od. 13. 128 foll.",,48,0,,,
73985139,aeneid_book1,Conington,‘MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK’,,50-64,0,,,
